did,oid,eid,sid,ent,flow,flow_D,count,count_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,dtimeTtime,dtimeTtime_D,spdh,spdh_D,flow_capacity,flow_capacity_D,density,density_D,qvnbvehs,qmean,qmean_D,qmax,qmax_D,qvmean,qvmean_D,qvmax,qvmax_D,travel,travel_D,traveltime,traveltime_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D
432282,379697,,1,0,14,-1,14,-1,14,-1,14,-1,26.9401068,2.403295506,7.6159659,1.8935541,0,0,22.75662565,2.028441592,28.26999149,-1,22.58902108,1.945770623,0.015555556,-1,0.619770176,-1,0,0.031777778,-1,2,-1,0,-1,0,-1,2.366585823,-1,377.1614952,-1,0,-1,0,-1,0.8,0,1,-1
432282,379697,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379700,,0,0,12,-1,12,-1,12,-1,12,-1,10.76332231,0.718466038,0.752440801,0.602707726,0,0,46.54898177,3.06712214,6.990785744,-1,46.36196552,2.944561261,0.013333333,-1,0.258832915,-1,0,0,-1,0,-1,0,-1,0,-1,1.663362592,-1,129.1598677,-1,0,-1,0,-1,0,0,0,-1
432282,379700,,1,0,12,-1,12,-1,12,-1,12,-1,10.76332231,0.718466038,0.752440801,0.602707726,0,0,46.54898177,3.06712214,6.990785744,-1,46.36196552,2.944561261,0.013333333,-1,0.258832915,-1,0,0,-1,0,-1,0,-1,0,-1,1.663362592,-1,129.1598677,-1,0,-1,0,-1,0,0,0,-1
432282,379700,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379706,,0,0,6,-1,6,-1,6,-1,6,-1,57.16228677,0,5.184755112,0,0,0,41.96607125,0,9.070237398,-1,41.96607125,0,0.006666667,-1,0.142972647,-1,0,0,-1,1,-1,0,-1,0,-1,3.998127666,-1,342.9737206,-1,0,-1,0,-1,0.8,0,1,-1
432282,379706,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379706,,2,0,6,-1,6,-1,6,-1,6,-1,57.16228677,0,5.184755112,0,0,0,41.96607125,0,9.070237398,-1,41.96607125,0,0.006666667,-1,0.142972647,-1,0,0,-1,1,-1,0,-1,0,-1,3.998127666,-1,342.9737206,-1,0,-1,0,-1,0.8,0,1,-1
432282,379712,,0,0,8,-1,8,-1,8,-1,8,-1,28.40438312,0,4.439182528,0,0,0,35.14458094,0,15.62851236,-1,35.14458094,0,0.008888889,-1,0.227631136,-1,0,0.010666667,-1,1,-1,0,-1,0,-1,2.218355871,-1,227.235065,-1,0,-1,0,-1,0.8,0,1,-1
432282,379712,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379712,,2,0,8,-1,8,-1,8,-1,8,-1,28.40438312,0,4.439182528,0,0,0,35.14458094,0,15.62851236,-1,35.14458094,0,0.008888889,-1,0.227631136,-1,0,0.010666667,-1,1,-1,0,-1,0,-1,2.218355871,-1,227.235065,-1,0,-1,0,-1,0.8,0,1,-1
432282,379900,,0,0,9,-1,9,-1,9,-1,9,-1,39.39049513,3.349119766,9.205361233,2.21315425,0,0,30.53120583,2.551160363,23.36949867,-1,30.33906266,2.414424117,0.01,-1,0.296647267,-1,0,0.019111111,-1,1,-1,0,-1,0,-1,2.98767675,-1,354.5144561,-1,0,-1,0,-1,0.8,0,1,-1
432282,379900,,1,0,9,-1,9,-1,9,-1,9,-1,39.39049513,3.349119766,9.205361233,2.21315425,0,0,30.53120583,2.551160363,23.36949867,-1,30.33906266,2.414424117,0.01,-1,0.296647267,-1,0,0.019111111,-1,1,-1,0,-1,0,-1,2.98767675,-1,354.5144561,-1,0,-1,0,-1,0.8,0,1,-1
432282,379900,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379901,,0,0,7,-1,7,-1,7,-1,7,-1,26.27774595,1.788511755,2.617000464,0.665879952,0,0,45.79772944,2.896080763,9.958999029,-1,45.62900855,2.774629161,0.007777778,-1,0.153411178,-1,0,0,-1,0,-1,0,-1,0,-1,2.331442351,-1,183.9442216,-1,0,-1,0,-1,0,0,0,-1
432282,379901,,1,0,7,-1,7,-1,7,-1,7,-1,26.27774595,1.788511755,2.617000464,0.665879952,0,0,45.79772944,2.896080763,9.958999029,-1,45.62900855,2.774629161,0.007777778,-1,0.153411178,-1,0,0,-1,0,-1,0,-1,0,-1,2.331442351,-1,183.9442216,-1,0,-1,0,-1,0,0,0,-1
432282,379901,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379906,,0,0,6,-1,6,-1,6,-1,6,-1,9.885427737,0.356961827,0.174710799,0.079315976,0,0,51.49792958,1.804660102,1.767356997,-1,51.44364679,1.671078906,0.006666667,-1,0.116632479,-1,0,0,-1,0,-1,0,-1,0,-1,0.847570755,-1,59.31256642,-1,0,-1,0,-1,0,0,0,-1
432282,379906,,1,0,6,-1,6,-1,6,-1,6,-1,9.885427737,0.356961827,0.174710799,0.079315976,0,0,51.49792958,1.804660102,1.767356997,-1,51.44364679,1.671078906,0.006666667,-1,0.116632479,-1,0,0,-1,0,-1,0,-1,0,-1,0.847570755,-1,59.31256642,-1,0,-1,0,-1,0,0,0,-1
432282,379906,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379913,,0,0,5,-1,5,-1,5,-1,5,-1,22.94880973,1.35730951,2.447425357,1.080291068,0,0,45.16382738,2.881140941,10.66471589,-1,45.02754416,2.477195742,0.005555556,-1,0.111043142,-1,0,0,-1,0,-1,0,-1,0,-1,1.435178533,-1,114.7440487,-1,0,-1,0,-1,0,0,0,-1
432282,379913,,1,0,5,-1,5,-1,5,-1,5,-1,22.94880973,1.35730951,2.447425357,1.080291068,0,0,45.16382738,2.881140941,10.66471589,-1,45.02754416,2.477195742,0.005555556,-1,0.111043142,-1,0,0,-1,0,-1,0,-1,0,-1,1.435178533,-1,114.7440487,-1,0,-1,0,-1,0,0,0,-1
432282,379913,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379916,,0,0,12,-1,12,-1,12,-1,12,-1,38.63986359,2.237275597,8.038890638,1.740294793,0,0,30.79164363,1.65464278,20.80465584,-1,30.70399202,1.640504289,0.013333333,-1,0.390828656,-1,0,0.025333333,-1,1,-1,0,-1,0,-1,3.954660212,-1,463.6783631,-1,0,-1,0,-1,0.8,0,1,-1
